sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
3660;DHT22;1846;51.482;7.224;2021-04-26T02:48:31;04. Okt;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T02:50:58;Apr 20;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T02:53:28;04. Okt;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T02:55:59;04. Okt;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T02:58:28;4.00;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:00:55;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:03:21;04. Okt;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:05:49;04. Okt;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:08:16;Apr 20;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:10:43;Apr 20;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T03:13:10;Apr 20;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T03:15:38;Apr 20;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T03:18:05;04. Okt;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T03:20:32;4.00;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:22:58;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:25:25;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:27:53;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:30:22;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:32:50;4.00;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:35:18;4.00;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:37:45;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:40:16;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:42:42;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:45:09;Mrz 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:47:38;Mrz 80;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:50:06;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:52:33;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:54:59;Mrz 60;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:57:25;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T03:59:52;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:02:18;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:04:44;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:07:11;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:09:38;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:12:05;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:14:31;Mrz 30;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:16:57;Mrz 30;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:19:24;Mrz 30;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:21:51;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:24:18;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:26:44;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:29:11;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:31:37;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:34:03;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:36:30;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:38:56;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:41:24;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:43:50;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:46:17;Mrz 30;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:48:43;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:51:10;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:53:36;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:56:03;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T04:58:30;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:00:56;Mrz 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:03:23;Mrz 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:05:49;Mrz 60;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:08:15;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:10:42;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:13:08;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:15:35;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:18:02;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:20:28;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:22:55;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:25:22;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:27:48;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:30:15;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:32:43;Mrz 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:35:10;Mrz 80;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:37:36;Mrz 80;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:40:03;4.00;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:42:29;04. Okt;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:44:56;Apr 20;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:47:22;Apr 20;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:49:49;Apr 30;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:52:16;Apr 30;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:54:42;Apr 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:57:08;Apr 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T05:59:36;Apr 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:02:02;Apr 60;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:04:28;Apr 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:06:56;Apr 80;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:09:23;Apr 90;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:11:49;5.00;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:14:15;05. Okt;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:16:42;Mai 30;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:19:08;Mai 20;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:21:35;Mai 30;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:24:02;Mai 40;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:26:28;Mai 50;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:28:55;Mai 50;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:31:21;Mai 60;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:33:47;Mai 70;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:36:14;Mai 90;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:38:40;6.00;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:41:07;06. Okt;44.40
3660;DHT22;1846;51.482;7.224;2021-04-26T06:43:34;Jun 20;36.60
3660;DHT22;1846;51.482;7.224;2021-04-26T06:46:00;Jun 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:48:26;Jun 50;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:50:56;Jun 60;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T06:53:23;Jun 60;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:55:49;Jun 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T06:58:16;Jun 80;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T07:00:43;Jun 90;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T07:05:44;Jul 20;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T07:10:46;Jul 20;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T07:13:14;Jul 40;99.90
3660;DHT22;1846;51.482;7.224;2021-04-26T07:15:42;Jul 40;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T07:18:08;Jul 60;41.90
3660;DHT22;1846;51.482;7.224;2021-04-26T07:20:35;Jul 60;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T07:23:02;Jul 70;1.00
3660;DHT22;1846;51.482;7.224;2021-04-26T07:25:28;08. Okt;99.90
